period,destination_code,destination_iso,destination,export_value_usd,month,year
202301,8,ALB,Albania,9267.0,2023-01-01,2023
202301,12,DZA,Algeria,1916905.0,2023-01-01,2023
202301,24,AGO,Angola,5183.0,2023-01-01,2023
202301,28,ATG,Antigua and Barbuda,11191.0,2023-01-01,2023
202301,32,ARG,Argentina,2783946.0,2023-01-01,2023
202301,36,AUS,Australia,42401637.0,2023-01-01,2023
202301,40,AUT,Austria,17669079.0,2023-01-01,2023
202301,44,BHS,Bahamas,41967.0,2023-01-01,2023
202301,48,BHR,Bahrain,4968.0,2023-01-01,2023
202301,50,BGD,Bangladesh,12475870.0,2023-01-01,2023
202301,52,BRB,Barbados,50092.0,2023-01-01,2023
202301,56,BEL,Belgium,106905634.0,2023-01-01,2023
202301,68,BOL,Bolivia (Plurinational State of),1223.0,2023-01-01,2023
202301,70,BIH,Bosnia Herzegovina,228767.0,2023-01-01,2023
202301,72,BWA,Botswana,16310.0,2023-01-01,2023
202301,76,BRA,Brazil,34607272.0,2023-01-01,2023
202301,84,BLZ,Belize,93203.0,2023-01-01,2023
202301,96,BRN,Brunei Darussalam,23268.0,2023-01-01,2023
202301,100,BGR,Bulgaria,918489.0,2023-01-01,2023
202301,104,MMR,Myanmar,2444294.0,2023-01-01,2023
202301,112,BLR,Belarus,2020957.0,2023-01-01,2023
202301,116,KHM,Cambodia,55821.0,2023-01-01,2023
202301,120,CMR,Cameroon,86758.0,2023-01-01,2023
202301,124,CAN,Canada,17768557.0,2023-01-01,2023
202301,132,CPV,Cabo Verde,5779.0,2023-01-01,2023
202301,144,LKA,Sri Lanka,349144.0,2023-01-01,2023
202301,148,TCD,Chad,9066.0,2023-01-01,2023
202301,152,CHL,Chile,8303520.0,2023-01-01,2023
202301,170,COL,Colombia,4076684.0,2023-01-01,2023
202301,178,COG,Congo,1028.0,2023-01-01,2023
202301,180,COD,Dem. Rep. of the Congo,2604967.0,2023-01-01,2023
202301,188,CRI,Costa Rica,121838.0,2023-01-01,2023
202301,191,HRV,Croatia,925329.0,2023-01-01,2023
202301,192,CUB,Cuba,375155.0,2023-01-01,2023
202301,196,CYP,Cyprus,98730.0,2023-01-01,2023
202301,203,CZE,Czechia,70707712.0,2023-01-01,2023
202301,204,BEN,Benin,3132338.0,2023-01-01,2023
202301,208,DNK,Denmark,4197298.0,2023-01-01,2023
202301,214,DOM,Dominican Rep.,1462809.0,2023-01-01,2023
202301,218,ECU,Ecuador,225975.0,2023-01-01,2023
202301,222,SLV,El Salvador,116338.0,2023-01-01,2023
202301,226,GNQ,Equatorial Guinea,70531.0,2023-01-01,2023
202301,231,ETH,Ethiopia,2867312.0,2023-01-01,2023
202301,232,ERI,Eritrea,863496.0,2023-01-01,2023
202301,233,EST,Estonia,988533.0,2023-01-01,2023
202301,242,FJI,Fiji,158.0,2023-01-01,2023
202301,246,FIN,Finland,49035936.0,2023-01-01,2023
202301,251,FRA,France,26471198.0,2023-01-01,2023
202301,258,PYF,French Polynesia,172976.0,2023-01-01,2023
202301,262,DJI,Djibouti,262523.0,2023-01-01,2023
202301,270,GMB,Gambia,180049.0,2023-01-01,2023
202301,276,DEU,Germany,927673812.0,2023-01-01,2023
202301,288,GHA,Ghana,6101774.0,2023-01-01,2023
202301,296,KIR,Kiribati,333146.0,2023-01-01,2023
202301,300,GRC,Greece,8730706.0,2023-01-01,2023
202301,308,GRD,Grenada,3600.0,2023-01-01,2023
202301,320,GTM,Guatemala,135977.0,2023-01-01,2023
202301,324,GIN,Guinea,1496.0,2023-01-01,2023
202301,328,GUY,Guyana,73149.0,2023-01-01,2023
202301,332,HTI,Haiti,189469.0,2023-01-01,2023
202301,340,HND,Honduras,32316.0,2023-01-01,2023
202301,344,HKG,"China, Hong Kong SAR",82265214.0,2023-01-01,2023
202301,348,HUN,Hungary,83509675.0,2023-01-01,2023
202301,360,IDN,Indonesia,26839203.0,2023-01-01,2023
202301,364,IRN,Iran,375539.0,2023-01-01,2023
202301,368,IRQ,Iraq,898368.0,2023-01-01,2023
202301,372,IRL,Ireland,4034243.0,2023-01-01,2023
202301,376,ISR,Israel,2831567.0,2023-01-01,2023
202301,380,ITA,Italy,100833671.0,2023-01-01,2023
202301,384,CIV,Côte d'Ivoire,151274.0,2023-01-01,2023
