typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,301249382.0,False,5,u,301249382.0,False,197519921.932,True,0.0,False,,5642063841.0,5642063841.0,4,False,True
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,8,ALB,Albania,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1184.0,False,5,u,1184.0,False,1134.0,False,0.0,False,,9267.0,9267.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,12,DZA,Algeria,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,36021.0,False,5,u,36021.0,False,82123.0,False,0.0,False,,1916905.0,1916905.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,24,AGO,Angola,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,314.0,False,5,u,314.0,False,207.0,False,0.0,False,,5183.0,5183.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,28,ATG,Antigua and Barbuda,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,12.0,False,5,u,12.0,False,520.0,False,0.0,False,,11191.0,11191.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,32,ARG,Argentina,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,353921.0,False,5,u,353921.0,False,63108.0,False,0.0,False,,2783946.0,2783946.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,36,AUS,Australia,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,544640.0,False,5,u,544640.0,False,1582100.0,False,0.0,False,,42401637.0,42401637.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,40,AUT,Austria,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,96258.0,False,5,u,96258.0,False,509470.0,False,0.0,False,,17669079.0,17669079.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,44,BHS,Bahamas,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,8.0,False,5,u,8.0,False,1775.0,False,0.0,False,,41967.0,41967.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,48,BHR,Bahrain,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,200.0,False,5,u,200.0,False,32.0,False,0.0,False,,4968.0,4968.0,0,True,False
