typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,301249382.0,False,5,u,301249382.0,False,197519921.932,True,0.0,False,,5642063841.0,5642063841.0,4,False,True
C,M,20230201,2023,2,202302,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,237606878.0,False,5,u,237606878.0,False,151780354.479,True,0.0,False,,4608612307.0,4608612307.0,4,False,True
C,M,20230301,2023,3,202303,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,295369358.0,False,5,u,295369358.0,False,198540327.102,True,0.0,False,,5726202912.0,5726202912.0,4,False,True
C,M,20230401,2023,4,202304,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,293197022.0,False,5,u,293197022.0,False,184479745.526,True,0.0,False,,5308122952.0,5308122952.0,4,False,True
C,M,20230501,2023,5,202305,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,305880668.0,False,5,u,305880668.0,False,196754015.065,True,0.0,False,,5526198133.0,5526198133.0,4,False,True
C,M,20230601,2023,6,202306,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,310957794.0,False,5,u,310957794.0,False,184527445.0,False,0.0,False,,5225234063.0,5225234063.0,0,False,True
C,M,20230701,2023,7,202307,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,328577402.0,False,5,u,328577402.0,False,182962809.0,False,0.0,False,,5005586944.0,5005586944.0,0,False,True
C,M,20230801,2023,8,202308,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,339117295.0,False,5,u,339117295.0,False,208322069.932,True,0.0,False,,5679693998.0,5679693998.0,4,False,True
C,M,20230901,2023,9,202309,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,316027053.0,False,5,u,316027053.0,False,216015369.257,True,0.0,False,,5882249294.0,5882249294.0,4,False,True
C,M,20231001,2023,10,202310,156,CHN,China,X,Export,0,W00,World,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,303344302.0,False,5,u,303344302.0,False,216120673.469,True,0.0,False,,5589978613.0,5589978613.0,4,False,True
