destination,market_segment_2023,score_2023,rank_2023,market_segment_2024_pred,score_2024,rank_2024,export_2024,growth_2024,momentum_2024,score_change,rank_improvement
Afghanistan,成熟核心市场,57.179487179487175,74,低基数暴增市场,41.96428571428571,132,2533001.0,0.05955636214027907,0.510448278543909,-15.215201465201467,-58
Albania,低基数暴增市场,40.717948717948715,142,低基数暴增市场,23.46938775510204,180,568342.0,-0.23434722197411986,-1.0339126793374411,-17.248560962846675,-38
Algeria,成熟核心市场,54.846153846153854,89,低基数暴增市场,39.08163265306123,147,11727414.0,-0.4518753286818848,-0.15781245549956707,-15.764521193092627,-58
Andorra,常规培育市场,19.41025641025641,191,常规培育市场,3.9030612244897958,194,27409.0,-0.8439654990615576,-1.630194461673173,-15.507195185766612,-3
Angola,成熟核心市场,40.38461538461539,144,低基数暴增市场,39.36224489795919,145,2960042.0,0.16079795092101792,-0.13571834453700318,-1.0223704866562002,-1
Antigua and Barbuda,常规培育市场,28.564102564102562,175,低基数暴增市场,37.244897959183675,152,267914.0,0.25964770230549616,0.4464268384630889,8.680795395081113,23
Argentina,边缘脉冲市场,55.82051282051282,82,低基数暴增市场,51.0969387755102,108,59541963.0,-0.1462823457170474,0.07147923557710047,-4.723574045002614,-26
Australia,边缘脉冲市场,65.92307692307692,31,边缘脉冲市场,80.25510204081631,2,1456510643.0,0.6720846859033108,1.0152709072926425,14.332025117739391,29
Austria,边缘脉冲市场,76.58974358974359,5,边缘脉冲市场,58.18877551020409,81,182795717.0,-0.735976997506186,0.7623797115552767,-18.400968079539503,-76
Bahamas,低基数暴增市场,31.641025641025642,167,成熟核心市场,50.61224489795919,112,958012.0,0.6228669794629076,0.6918451960935771,18.971219256933544,55
Bahrain,低基数暴增市场,28.692307692307693,174,成熟核心市场,44.89795918367348,125,513955.0,1.2405073666523228,-0.056997207926764014,16.205651491365785,49
Bangladesh,边缘脉冲市场,59.92307692307692,59,边缘脉冲市场,51.0969387755102,108,63615488.0,-0.1367069179845029,-0.4147009608729245,-8.826138147566716,-49
Barbados,低基数暴增市场,44.51282051282051,127,低基数暴增市场,39.413265306122454,144,828204.0,0.10161388550548112,0.37072508705584617,-5.0995552066980565,-17
Belgium,边缘脉冲市场,78.07692307692308,3,边缘脉冲市场,58.341836734693885,79,728900171.0,-0.654684185703219,0.12528285440613512,-19.735086342229195,-76
Bhutan,低活跃回落市场,36.28205128205128,155,低活跃回落市场,10.841836734693878,191,504638.0,-0.4636908372574106,-1.3221279412172686,-25.4402145473574,-36
Bolivia (Plurinational State of),成熟核心市场,55.282051282051285,87,低基数暴增市场,32.44897959183674,167,2548218.0,-0.6257291594056895,0.025063789675765575,-22.833071690214545,-80
Bosnia Herzegovina,成熟核心市场,51.717948717948715,101,低基数暴增市场,33.16326530612245,164,1339436.0,0.10859259084343797,0.06065239399269543,-18.554683411826268,-63
Botswana,低基数暴增市场,37.84615384615385,148,成熟核心市场,46.683673469387756,119,1995196.0,0.10629294812192813,1.0129130170669949,8.83751962323391,29
Brazil,边缘脉冲市场,69.12820512820512,19,边缘脉冲市场,66.91326530612244,29,469840208.0,0.15674264361226214,0.0300268809688591,-2.214939822082684,-10
Belize,低基数暴增市场,34.53846153846154,157,成熟核心市场,57.95918367346939,82,1001429.0,1.0328940145689176,1.125277977769767,23.42072213500785,75
Solomon Isds,高增长机会市场,57.41025641025641,73,成熟核心市场,52.70408163265306,100,4394370.0,0.7109600487857692,0.8428175142284332,-4.706174777603351,-27
