opportunity_rank,destination_code,destination,export_2024,monthly_cv_2024,active_month_ratio_2024,h2_h1_momentum_2024,growth_2024,export_2023,H1,H2,log_export_2024,growth_log_ratio,momentum_log_ratio,growth_symmetric_2024,momentum_symmetric_2024,cluster,segment,scale_score,growth_score,momentum_score,activity_score,stability_score,market_scale,growth_momentum,growth_quality,size_score,opportunity_score,market_segment,decision_tier
1,251,France,972602996.0,0.30087940922974954,1.0,0.3875574576660499,2.1440461411368243,309347558.0,407363179.0,565239817.0,20.695486537360427,1.145510548188934,0.3275449760258802,1.0347597821623937,0.324647648936504,1,成熟核心市场,94.41624365482234,87.24489795918367,56.70103092783505,64.54081632653062,89.28571428571429,94.41624365482234,71.8274111675127,76.7766497461929,94.38775510204081,81.31469598148537,成熟核心市场,重点候选
2,36,Australia,1456510643.0,0.6845025853433185,1.0,2.062030897251781,1.01224028184432,723825408.0,358567101.0,1097943542.0,21.099309442267028,0.6992486687878952,1.1190783858524718,0.6720846859033108,1.0152709072926425,1,成熟核心市场,95.93908629441624,75.0,85.56701030927834,64.54081632653062,62.244897959183675,95.93908629441624,79.94923857868021,63.3248730964467,95.91836734693877,80.4297285924679,成熟核心市场,重点候选
3,860,Uzbekistan,146837513.0,1.4954253655403904,1.0,14.55306958449333,13.303148801340958,10266097.0,8870712.0,137966801.0,18.804837186457767,2.6604796183265265,2.7442579145938932,1.7386158854019969,1.758352976190764,0,加速扩张机会市场,81.21827411167513,95.91836734693877,95.87628865979381,64.54081632653062,27.040816326530617,81.21827411167513,95.43147208121827,45.81218274111675,81.12244897959184,78.00178834420366,高增长机会市场,重点候选
4,642,Romania,142004192.0,0.4240643550685942,1.0,0.5637854047861138,3.851918256884336,29267639.0,55388486.0,86615706.0,18.7713671432986,1.5793741165111932,0.44710941698399154,1.316463452767081,0.43980701640131864,1,成熟核心市场,79.69543147208121,91.3265306122449,62.88659793814433,64.54081632653062,80.10204081632654,79.69543147208121,76.90355329949239,72.20812182741116,79.59183673469387,77.75589101620028,成熟核心市场,重点候选
5,804,Ukraine,145053657.0,0.6557710716804614,1.0,1.6710696457875343,1.497760673240855,58073481.0,39512641.0,105541016.0,18.792614287103735,0.9153945894384705,0.9824789927532933,0.8564111802727216,0.9103993151996161,1,成熟核心市场,80.71065989847716,82.14285714285714,81.44329896907216,64.54081632653062,64.79591836734693,80.71065989847716,81.47208121827411,64.59390862944161,80.61224489795919,77.18151693667157,成熟核心市场,重点候选
6,682,Saudi Arabia,688258730.0,1.224298366760143,1.0,1.1162017739708365,1.6422148894538957,260485524.0,220864623.0,467394107.0,20.34967538770384,0.9716175363088126,0.7496228633807114,0.9017671605313353,0.7163860718483004,1,成熟核心市场,92.38578680203045,83.6734693877551,73.19587628865979,64.54081632653062,36.73469387755102,92.38578680203045,78.1725888324873,50.63451776649746,92.3469387755102,75.22590995160951,成熟核心市场,重点候选
7,842,USA,15336139169.0,0.28699010085037563,1.0,0.6198701003010609,0.1305725115486069,13564931937.0,5853778463.0,9482360706.0,23.453477917374713,0.12272415180142815,0.4823459609645866,0.1225703521854793,0.4732067442808167,1,成熟核心市场,100.0,47.44897959183674,65.4639175257732,64.54081632653062,89.79591836734694,100.0,56.345177664974614,77.03045685279187,100.0,74.87849779086893,成熟核心市场,重点候选
8,348,Hungary,734234463.0,0.3414816771448973,1.0,0.3721983385356036,0.375883986455281,533645620.0,309516473.0,424717990.0,20.41433896881336,0.3190964232756137,0.31641407959419965,0.31641611172781553,0.31380035344377455,1,成熟核心市场,93.90862944162437,64.79591836734694,55.154639175257735,64.54081632653062,86.22448979591837,93.90862944162437,59.898477157360404,75.25380710659898,93.87755102040816,74.78092783505154,成熟核心市场,重点候选
9,784,United Arab Emirates,303290372.0,0.3160145429830654,1.0,0.3453551253358747,0.9890316082042884,152481424.0,129315330.0,173975042.0,19.530201231304414,0.6876478879899821,0.2966580099249221,0.6617739374114321,0.29450135001318145,1,成熟核心市场,84.26395939086294,74.48979591836735,53.09278350515464,64.54081632653062,88.26530612244898,84.26395939086294,63.705583756345185,76.26903553299492,84.18367346938776,74.1899852724595,成熟核心市场,重点候选
10,688,Serbia,36997999.0,1.3774644252986126,1.0,7.769965343794627,20.072583598605945,1755741.0,3786912.0,33211087.0,17.42637441509347,3.0479722975399373,2.1713326207425663,1.8187797100357281,1.5905819663382337,0,加速扩张机会市场,68.52791878172589,96.42857142857143,92.26804123711341,64.54081632653062,28.57142857142857,68.52791878172589,93.90862944162436,46.5736040609137,68.36734693877551,73.81075110456554,高增长机会市场,重点候选
