destination,market_segment,decision_tier,opportunity_score,size_score,growth_score,momentum_score,stability_score,activity_score
France,成熟核心市场,重点候选,81.31469598148537,94.38775510204081,87.24489795918367,56.70103092783505,89.28571428571429,64.54081632653062
Australia,成熟核心市场,重点候选,80.4297285924679,95.91836734693877,75.0,85.56701030927834,62.244897959183675,64.54081632653062
Uzbekistan,高增长机会市场,重点候选,78.00178834420366,81.12244897959184,95.91836734693877,95.87628865979381,27.040816326530617,64.54081632653062
Romania,成熟核心市场,重点候选,77.75589101620028,79.59183673469387,91.3265306122449,62.88659793814433,80.10204081632654,64.54081632653062
Ukraine,成熟核心市场,重点候选,77.18151693667157,80.61224489795919,82.14285714285714,81.44329896907216,64.79591836734693,64.54081632653062
Saudi Arabia,成熟核心市场,重点候选,75.22590995160951,92.3469387755102,83.6734693877551,73.19587628865979,36.73469387755102,64.54081632653062
USA,成熟核心市场,重点候选,74.87849779086893,100.0,47.44897959183674,65.4639175257732,89.79591836734694,64.54081632653062
Hungary,成熟核心市场,重点候选,74.78092783505154,93.87755102040816,64.79591836734694,55.154639175257735,86.22448979591837,64.54081632653062
United Arab Emirates,成熟核心市场,重点候选,74.1899852724595,84.18367346938776,74.48979591836735,53.09278350515464,88.26530612244898,64.54081632653062
Serbia,高增长机会市场,重点候选,73.81075110456554,68.36734693877551,96.42857142857143,92.26804123711341,28.57142857142857,64.54081632653062
Iraq,高增长机会市场,重点候选,73.7302756154008,70.91836734693877,84.6938775510204,77.83505154639175,61.734693877551024,64.54081632653062
Nigeria,成熟核心市场,重点候选,73.41389648642962,83.6734693877551,71.42857142857143,60.30927835051546,79.59183673469389,64.54081632653062
Latvia,高增长机会市场,重点候选,73.2771407532085,72.95918367346938,97.44897959183673,93.29896907216495,12.755102040816325,64.54081632653062
Yemen,高增长机会市场,重点候选,73.10304018514623,57.6530612244898,93.36734693877551,82.9896907216495,62.755102040816325,64.54081632653062
Senegal,高增长机会市场,重点候选,72.72143909110035,62.755102040816325,87.75510204081633,83.50515463917526,58.6734693877551,64.54081632653062
Thailand,成熟核心市场,重点候选,71.86355985693247,89.28571428571429,67.3469387755102,38.144329896907216,94.38775510204081,64.54081632653062
Chile,成熟核心市场,重点候选,71.63423101199241,87.75510204081633,60.204081632653065,75.77319587628865,57.6530612244898,64.54081632653062
Mali,成熟核心市场,重点候选,71.62108142225962,75.0,90.81632653061224,44.329896907216494,73.9795918367347,64.54081632653062
Finland,成熟核心市场,重点候选,71.61266568483063,92.85714285714286,63.775510204081634,40.20618556701031,88.77551020408163,64.54081632653062
Zambia,高增长机会市场,重点候选,70.69745423942773,66.83673469387756,94.38775510204081,91.75257731958763,40.816326530612244,25.765306122448976
Denmark,成熟核心市场,重点候选,69.60866820955187,77.55102040816327,73.46938775510205,58.24742268041238,65.81632653061224,64.54081632653062
Viet Nam,成熟核心市场,重点候选,69.33384178413634,98.46938775510205,46.93877551020408,36.08247422680412,95.91836734693878,64.54081632653062
Estonia,高增长机会市场,重点候选,69.26073006522196,58.673469387755105,79.59183673469387,75.25773195876289,68.36734693877551,64.54081632653062
Venezuela,高增长机会市场,重点候选,68.99616031979802,53.06122448979592,93.87755102040816,70.61855670103093,60.204081632653065,64.54081632653062
Cambodia,高增长机会市场,重点候选,68.91726278140122,61.73469387755102,76.53061224489795,81.95876288659794,56.12244897959184,64.54081632653062
