destination,market_segment_2023,score_2023,rank_2023,market_segment_2024_pred,score_2024,rank_2024,export_2024,growth_2024,momentum_2024,score_change,rank_improvement
Sierra Leone,低基数暴增市场,22.71794871794872,186,成熟核心市场,64.71938775510203,45,8251574.0,1.3590830190645538,0.45565900517889074,42.00143903715332,141
Ghana,低基数暴增市场,34.02564102564103,160,成熟核心市场,67.32142857142857,28,28610094.0,0.9504036050699235,0.925503844901733,33.29578754578754,132
Zambia,低基数暴增市场,36.871794871794876,151,成熟核心市场,70.51020408163265,20,34999502.0,1.558654385507855,1.5701673698100047,33.638409209837775,131
Romania,低基数暴增市场,43.17948717948718,129,边缘脉冲市场,77.62755102040815,4,142004192.0,1.316463452767081,0.43980701640131864,34.448063840920966,125
Serbia,低基数暴增市场,41.769230769230774,133,成熟核心市场,73.62244897959184,10,36997999.0,1.8187797100357281,1.5905819663382337,31.853218210361064,123
Côte d'Ivoire,低基数暴增市场,38.56410256410257,147,成熟核心市场,65.71428571428572,36,19963323.0,0.8556895220648978,0.7983964393102291,27.150183150183153,111
Kyrgyzstan,低基数暴增市场,28.07692307692308,177,成熟核心市场,60.204081632653065,68,4311378.0,0.3075728693686256,1.2567508578463777,32.127158555729984,109
Curaçao,低基数暴增市场,39.641025641025635,146,成熟核心市场,64.66836734693878,46,6846330.0,1.6228290729925714,1.8378354534473214,25.027341705913145,100
Latvia,低基数暴增市场,48.871794871794876,112,成熟核心市场,73.08673469387756,13,46507639.0,1.892111485824549,1.6276001884335602,24.214939822082684,99
Oman,低基数暴增市场,43.0,130,成熟核心市场,66.68367346938776,31,8889822.0,0.592931247882628,1.2052794757870293,23.683673469387756,99
Guinea-Bissau,常规培育市场,15.179487179487179,194,高增长机会市场,53.494897959183675,97,1386295.0,1.6421998041354868,1.6684370931151018,38.31541077969649,97
Estonia,低基数暴增市场,45.48717948717949,120,成熟核心市场,69.10714285714286,23,16160329.0,0.8079597086835864,0.7643857993237637,23.619963369963372,97
"China, Macao SAR",低基数暴增市场,34.46153846153847,158,成熟核心市场,60.58673469387756,67,2658752.0,1.2463959232501909,1.455418181161688,26.125196232339093,91
Yemen,成熟核心市场,50.97435897435898,104,成熟核心市场,72.93367346938776,14,15205817.0,1.4856711768591377,0.9621308739938144,21.959314495028778,90
Denmark,边缘脉冲市场,49.51282051282051,110,边缘脉冲市场,69.48979591836735,21,71759558.0,0.6222145216730234,0.3536157232183621,19.97697540554684,89
Lesotho,常规培育市场,21.935897435897434,188,高增长机会市场,52.37244897959184,103,1577600.0,1.8772483235496877,1.152550709939148,30.436551543694403,85
Senegal,低基数暴增市场,53.15384615384616,94,成熟核心市场,72.55102040816327,15,22876993.0,1.0797258777926515,0.9881019765141337,19.397174254317108,79
Belize,低基数暴增市场,34.53846153846154,157,成熟核心市场,57.95918367346939,82,1001429.0,1.0328940145689176,1.125277977769767,23.42072213500785,75
France,边缘脉冲市场,56.92307692307692,76,边缘脉冲市场,81.19897959183673,1,972602996.0,1.0347597821623937,0.324647648936504,24.275902668759812,75
Hungary,边缘脉冲市场,56.15384615384616,80,边缘脉冲市场,74.66836734693878,8,734234463.0,0.31641611172781553,0.31380035344377455,18.51452119309262,72
